iter	Logloss
0	0.6786924731
1	0.6700145182
2	0.6601481961
3	0.6490876467
4	0.6370010629
5	0.6283604612
6	0.6171068898
7	0.6084710745
8	0.6000427624
9	0.589510477
10	0.582176837
11	0.5742632617
12	0.5652554126
13	0.5592279453
14	0.5513217905
15	0.5459652976
16	0.5383713534
17	0.531907415
18	0.5241307079
19	0.5181152589
20	0.512744712
21	0.5069708423
22	0.5015318826
23	0.4957372704
24	0.4933394341
25	0.4888032983
26	0.4836239865
27	0.4804903743
28	0.4759948726
29	0.4710121813
30	0.4661443485
31	0.4618383894
32	0.4592728516
33	0.4563245112
34	0.4535675012
35	0.4495534804
36	0.4457786985
37	0.4421360558
38	0.4394848556
39	0.4374351515
40	0.433522493
41	0.4307987053
42	0.4274845086
43	0.423913193
44	0.421009302
45	0.4194482771
46	0.4178004559
47	0.4162301943
48	0.4122787245
49	0.4102856538
50	0.4080378421
51	0.4045530036
52	0.4017068385
53	0.3986960668
54	0.3953068679
55	0.3934913231
56	0.3928852492
57	0.3901552757
58	0.3880628961
59	0.3851533065
60	0.3830800999
61	0.3812030699
62	0.3786575715
63	0.3771648955
64	0.3746031945
65	0.3723629523
66	0.3706179653
67	0.3683840438
68	0.3664367399
69	0.3642730933
70	0.36270397
71	0.3606716268
72	0.3588507025
73	0.3566943262
74	0.3551092596
75	0.3548910025
76	0.3530997775
77	0.3516091655
78	0.3497946714
79	0.3480668382
80	0.3457654973
81	0.3433854406
82	0.3416987208
83	0.3392504512
84	0.3375537345
85	0.3361712013
86	0.3341741502
87	0.3337899016
88	0.3318290011
89	0.3301076915
90	0.3277635404
91	0.3275950187
92	0.3258985063
93	0.3253425512
94	0.3230556154
95	0.3213879158
96	0.3204066212
97	0.3181501718
98	0.3163991044
99	0.3150117016
100	0.3140573258
101	0.3119150779
102	0.3102540086
103	0.3090701689
104	0.3071210481
105	0.3051796796
106	0.3034494701
107	0.3019096883
108	0.2996690831
109	0.2981685864
110	0.2965138618
111	0.2950836047
112	0.2936433408
113	0.291510161
114	0.2898976912
115	0.2887113616
116	0.287323142
117	0.2861915151
118	0.2860732416
119	0.2850630726
120	0.2838070514
121	0.2828648728
122	0.2812637474
123	0.279793919
124	0.2781870488
125	0.2769826037
126	0.2761130421
127	0.27365852
128	0.2717240213
129	0.2704202837
130	0.2695790164
131	0.2683806662
132	0.2674555584
133	0.2663409318
134	0.2656244835
135	0.264267933
136	0.2636139761
137	0.2624173106
138	0.2615738975
139	0.2596207468
140	0.25906107
141	0.257871533
142	0.2572083993
143	0.2564938612
144	0.2552927936
145	0.253427202
146	0.2533182084
147	0.2520532143
148	0.2510861787
149	0.2505506897
150	0.2499218092
151	0.248572933
152	0.2475907121
153	0.24671507
154	0.2463141935
155	0.2455809687
156	0.2449736481
157	0.2439831263
158	0.2428837963
159	0.2412123476
160	0.2410916162
161	0.2408494547
162	0.2393437747
163	0.2385609598
164	0.2375332076
165	0.2362431594
166	0.2354169887
167	0.2346069115
168	0.2338383328
169	0.2330456009
170	0.2321468761
171	0.2311813216
172	0.2307986693
173	0.2299867175
174	0.2292177896
175	0.2279702157
176	0.2275309063
177	0.2273522137
178	0.2266718732
179	0.2257439644
180	0.2247938272
181	0.2242528085
182	0.2231306718
183	0.2224353687
184	0.2212912722
185	0.220677536
186	0.2202489521
187	0.2191659248
188	0.2185333907
189	0.2177641327
190	0.2171430354
191	0.2162246458
192	0.2152198421
193	0.2148474632
194	0.2141448645
195	0.2128768002
196	0.2125830692
197	0.2115673397
198	0.2109818642
199	0.2107607233
200	0.2103510736
201	0.2094718324
202	0.2085334521
203	0.2079622272
204	0.2079618376
205	0.2072644971
206	0.2064404288
207	0.2060825084
208	0.2054740353
209	0.2050340998
210	0.204210391
211	0.2033478755
212	0.202900105
213	0.2018024576
214	0.2012958585
215	0.2007414709
216	0.2003221755
217	0.1997989245
218	0.1988217792
219	0.1977250474
220	0.1964877058
221	0.1952811028
222	0.1943442909
223	0.1937567036
224	0.1930312381
225	0.192296186
226	0.1912365189
227	0.1905323244
228	0.190128139
229	0.1893955454
230	0.1890562381
231	0.1886699693
232	0.1880386021
233	0.1875109887
234	0.187216809
235	0.1867566452
236	0.1860442088
237	0.1851306083
238	0.1850030116
239	0.1842295275
240	0.1834611665
241	0.1824799297
242	0.1822943872
243	0.1819779618
244	0.1809691519
245	0.1802274437
246	0.1796769448
247	0.1793474867
248	0.1788974519
249	0.1777924154
250	0.1773391489
251	0.1770197648
252	0.1764322149
253	0.1760934461
254	0.1752797073
255	0.1747572989
256	0.1736686871
257	0.1730394229
258	0.1726126052
259	0.1720612831
260	0.1710616658
261	0.1704485543
262	0.1700894243
263	0.1695292252
264	0.1688708576
265	0.1682761178
266	0.1678722379
267	0.1669674998
268	0.1663922454
269	0.1657082323
270	0.1655237615
271	0.1651968108
272	0.1651957325
273	0.1646785278
274	0.1639044809
275	0.1635005923
276	0.1629638059
277	0.1623498595
278	0.1617273118
279	0.161117012
280	0.1602623688
281	0.1596398217
282	0.1587980685
