iter	Passed	Remaining
409	4603	6624
410	4617	6616
411	4619	6593
412	4631	6582
413	4643	6572
414	4645	6548
415	4657	6538
416	4671	6531
417	4680	6516
418	4685	6497
419	4691	6478
420	4704	6470
421	4713	6455
422	4722	6441
423	4738	6437
424	4750	6426
425	4765	6420
426	4780	6414
427	4789	6400
428	4803	6393
429	4817	6385
430	4822	6367
431	4839	6363
432	4847	6347
433	4877	6360
434	4894	6357
435	4921	6365
436	4931	6353
437	4967	6373
438	4987	6373
439	4994	6356
440	5011	6352
441	5029	6348
442	5031	6326
443	5040	6311
444	5046	6294
445	5053	6276
446	5057	6257
447	5068	6244
448	5074	6227
449	5083	6213
450	5089	6195
451	5099	6181
452	5101	6160
453	5103	6138
454	5108	6118
455	5115	6102
456	5117	6080
457	5126	6066
458	5131	6047
459	5138	6031
460	5140	6010
461	5152	5999
462	5161	5986
463	5169	5971
464	5180	5960
465	5185	5941
466	5193	5927
467	5202	5914
468	5211	5900
469	5224	5891
470	5235	5880
471	5240	5861
472	5242	5841
473	5247	5822
474	5251	5804
475	5256	5786
476	5261	5768
477	5270	5755
478	5276	5739
479	5279	5719
480	5281	5699
481	5288	5683
482	5299	5672
483	5311	5662
484	5316	5645
485	5325	5632
486	5330	5614
487	5334	5597
488	5337	5577
489	5339	5557
490	5346	5542
491	5348	5522
492	5353	5505
493	5364	5494
494	5366	5474
495	5373	5460
496	5382	5447
497	5391	5434
498	5400	5421
499	5411	5411
500	5418	5396
501	5421	5378
502	5431	5366
503	5433	5347
504	5440	5332
505	5444	5315
506	5451	5300
507	5455	5284
508	5458	5265
509	5467	5253
510	5476	5240
511	5480	5223
512	5491	5213
513	5498	5198
514	5500	5180
515	5511	5169
516	5520	5157
517	5529	5145
518	5534	5129
519	5536	5110
520	5539	5092
521	5549	5082
522	5552	5063
523	5565	5055
524	5567	5037
525	5569	5019
526	5576	5005
527	5583	4991
528	5591	4978
529	5596	4962
530	5605	4950
531	5616	4940
532	5618	4923
533	5625	4909
534	5634	4897
535	5643	4885
536	5656	4877
537	5661	4861
538	5671	4850
539	5678	4836
540	5686	4824
541	5689	4807
542	5694	4792
543	5696	4775
544	5707	4765
545	5716	4753
546	5725	4741
547	5727	4724
548	5732	4708
549	5742	4698
550	5749	4684
551	5755	4671
552	5762	4658
553	5771	4646
554	5774	4629
555	5781	4616
556	5783	4599
557	5790	4586
558	5798	4574
559	5806	4562
560	5810	4547
561	5819	4535
562	5826	4522
563	5829	4506
564	5831	4490
565	5836	4475
566	5850	4467
567	5857	4454
568	5865	4443
569	5877	4434
570	5888	4424
571	5898	4413
572	5904	4400
573	5914	4389
574	5916	4373
575	5923	4360
576	5926	4344
577	5939	4336
578	5947	4324
579	5957	4314
580	5970	4305
581	5983	4297
582	5993	4286
583	6005	4277
584	6009	4263
585	6016	4250
586	6021	4236
587	6027	4223
588	6034	4211
589	6041	4198
590	6043	4182
591	6050	4169
592	6059	4159
593	6064	4145
594	6066	4129
595	6073	4117
596	6084	4107
597	6086	4091
598	6089	4076
599	6096	4064
600	6107	4054
601	6109	4039
602	6119	4028
603	6127	4017
604	6134	4005
605	6143	3994
606	6157	3986
607	6166	3975
608	6175	3964
609	6184	3953
610	6190	3941
611	6203	3933
612	6214	3923
613	6219	3909
614	6221	3894
615	6228	3882
616	6232	3868
617	6236	3855
618	6243	3843
619	6254	3833
620	6256	3818
621	6263	3806
622	6270	3794
623	6273	3780
624	6284	3770
625	6286	3756
626	6293	3744
627	6296	3729
628	6303	3718
629	6317	3710
630	6327	3700
631	6338	3690
632	6345	3678
633	6352	3666
634	6363	3657
635	6368	3644
636	6375	3632
637	6387	3624
638	6399	3615
639	6409	3605
640	6418	3594
641	6423	3581
642	6425	3567
643	6432	3555
644	6436	3542
645	6443	3531
646	6448	3518
647	6450	3504
648	6455	3491
649	6457	3477
650	6460	3463
651	6469	3452
652	6473	3440
653	6480	3428
654	6482	3414
655	6492	3404
656	6497	3391
657	6507	3382
658	6526	3377
659	6530	3364
660	6541	3354
661	6550	3344
662	6557	3333
663	6564	3321
664	6570	3310
665	6573	3296
666	6577	3284
667	6588	3274
668	6592	3261
669	6604	3253
670	6607	3239
671	6616	3229
672	6618	3215
673	6625	3204
674	6636	3195
675	6641	3183
676	6650	3172
677	6657	3161
678	6666	3151
679	6674	3141
680	6679	3128
681	6683	3116
682	6688	3104
683	6692	3091
684	6704	3082
685	6708	3070
686	6712	3058
687	6719	3047
688	6721	3034
689	6728	3022
690	6735	3011
691	6737	2998
692	6746	2988
693	6752	2977
694	6759	2966
695	6769	2957
696	6776	2945
697	6785	2935
698	6789	2923
699	6802	2915
700	6804	2902
701	6810	2890
702	6816	2879
703	6825	2869
704	6827	2856
705	6840	2848
706	6853	2840
707	6861	2830
708	6868	2819
709	6872	2807
710	6881	2797
711	6883	2784
712	6886	2771
713	6888	2759
714	6890	2746
715	6895	2734
716	6905	2725
717	6910	2714
718	6919	2704
719	6922	2692
720	6933	2682
721	6937	2671
722	6940	2658
723	6948	2648
724	6953	2637
725	6960	2626
726	6975	2619
727	6996	2613
728	7004	2603
729	7016	2595
730	7023	2584
731	7025	2572
732	7028	2560
733	7036	2550
734	7045	2540
735	7054	2530
736	7058	2518
737	7061	2506
738	7069	2496
739	7071	2484
740	7074	2472
741	7076	2460
742	7083	2450
743	7085	2438
744	7091	2427
745	7102	2418
746	7107	2407
747	7118	2398
748	7121	2386
749	7125	2375
750	7132	2364
751	7139	2354
752	7146	2344
753	7156	2335
754	7159	2323
755	7172	2314
756	7174	2303
757	7177	2291
758	7183	2280
759	7188	2270
760	7195	2259
761	7204	2250
762	7207	2238
763	7209	2227
764	7211	2215
765	7220	2205
766	7223	2194
767	7227	2183
768	7236	2173
769	7243	2163
770	7254	2154
771	7256	2143
772	7267	2134
773	7269	2122
774	7272	2111
775	7278	2101
776	7281	2089
777	7283	2078
778	7288	2067
779	7297	2058
780	7299	2046
781	7304	2036
782	7313	2026
783	7315	2015
784	7317	2004
785	7328	1995
786	7333	1984
787	7342	1975
788	7347	1965
789	7350	1953
790	7361	1945
791	7364	1934
792	7377	1925
793	7380	1914
794	7382	1903
795	7384	1892
796	7392	1882
797	7394	1871
798	7401	1861
799	7408	1852
800	7421	1843
801	7430	1834
802	7433	1823
803	7443	1814
804	7455	1805
805	7460	1795
806	7465	1785
807	7474	1776
808	7481	1766
809	7486	1756
810	7490	1745
811	7497	1735
812	7504	1726
813	7509	1715
814	7515	1706
815	7522	1696
816	7531	1686
817	7540	1677
818	7553	1669
819	7555	1658
820	7558	1647
821	7564	1638
822	7573	1628
823	7576	1618
824	7580	1608
825	7583	1597
826	7585	1586
827	7588	1576
828	7590	1565
829	7593	1555
830	7602	1546
831	7608	1536
832	7617	1527
833	7624	1517
834	7627	1507
835	7629	1496
836	7631	1486
837	7643	1477
838	7655	1469
839	7658	1458
840	7664	1449
841	7669	1439
842	7672	1428
843	7675	1418
844	7679	1408
845	7682	1398
846	7686	1388
847	7695	1379
848	7700	1369
849	7702	1359
850	7707	1349
851	7712	1339
852	7718	1330
853	7727	1321
854	7736	1312
855	7739	1301
856	7743	1292
857	7750	1282
858	7759	1273
859	7765	1264
860	7770	1254
861	7775	1244
862	7780	1235
863	7787	1225
864	7791	1216
865	7798	1206
866	7806	1197
867	7815	1188
